id,price
188533,22229.28
188534,76045.4
188535,57934.273
188536,38119.367
188537,35751.61
188538,22463.436
188539,10688.075
188540,43413.37
188541,76958.31
188542,35495.05
188543,42029.867
188544,14003.051
188545,59522.055
188546,81888.12
188547,11539.345
188548,75817.17
188549,31552.42
188550,13560.132
188551,66392.32
188552,53733.312
188553,54803.75
188554,33579.645
188555,34619.957
188556,33808.445
188557,18472.127
188558,76538.38
188559,20554.572
188560,24591.502
188561,72303.79
188562,20365.564
188563,71567.414
188564,90243.37
188565,33947.125
188566,36951.438
188567,22985.404
188568,62313.04
188569,16635.87
188570,16212.19
188571,38647.6
188572,70172.39
188573,29861.422
188574,41062.11
188575,47260.484
188576,40726.6
188577,16338.941
188578,21153.217
188579,33906.75
188580,41007.89
188581,71318.09
188582,28643.734
188583,81352.67
188584,32363.484
188585,37438.684
188586,28015.04
188587,45233.332
188588,35268.277
188589,11866.339
188590,35761.812
188591,19878.291
188592,35115.58
188593,26952.877
188594,58348.117
188595,17925.3
188596,30470.65
188597,32215.896
188598,36292.867
188599,23292.621
188600,40058.78
188601,50605.426
188602,42833.992
188603,111550.76
188604,14730.215
188605,32269.979
188606,34642.47
188607,67224.6
188608,16895.725
188609,54883.42
188610,50328.727
188611,23835.893
188612,50692.367
188613,36066.29
188614,10242.602
188615,37857.594
188616,79821.945
188617,38944.258
188618,30492.682
188619,74412.46
188620,34992.42
188621,32921.977
188622,121643.49
188623,60854.805
188624,32594.033
188625,27688.623
188626,13811.196
188627,77697.14
188628,89286.74
188629,40021.61
188630,33873.21
188631,90509.44
188632,41241.195
188633,57607.312
188634,13404.56
188635,79994.46
188636,51730.805
188637,15928.483
188638,37164.754
188639,32738.498
188640,12845.261
188641,36325.145
188642,22391.877
188643,88083.37
188644,108673.72
188645,58978.164
188646,13029.65
188647,48444.78
188648,23574.082
188649,48537.797
188650,76531.086
188651,51434.117
188652,60698.9
188653,52517.906
188654,9163.971
188655,20794.346
188656,37625.64
188657,34829.695
188658,18393.764
188659,76902.08
188660,16047.809
188661,67712.445
188662,11121.388
188663,17312.95
188664,73146.99
188665,81824.086
188666,18682.486
188667,26406.812
188668,27033.744
188669,33568.168
188670,56480.805
188671,18909.986
188672,32262.264
188673,73056.51
188674,13821.06
188675,11178.03
188676,48254.17
188677,16512.695
188678,49705.152
188679,35489.54
188680,63350.953
188681,15879.499
188682,16804.25
188683,10050.628
188684,63317.29
188685,61494.188
188686,104415.4
188687,12965.651
188688,40957.176
188689,19764.53
188690,19095.51
188691,30549.33
188692,21285.568
188693,21656.84
188694,18692.543
188695,27022.78
188696,63166.58
188697,36244.56
188698,14567.35
188699,76614.35
188700,97580.68
188701,22064.465
188702,14219.361
188703,89199.48
188704,42968.52
188705,29072.135
188706,99590.79
188707,18088.88
188708,18546.33
188709,21675.127
188710,28029.084
188711,40796.848
188712,55184.312
188713,41240.992
188714,24072.4
188715,45937.25
188716,66015.63
188717,24285.783
188718,24319.314
188719,23992.377
188720,18612.672
188721,81333.54
188722,37516.703
188723,34244.06
188724,29318.076
188725,12465.7
188726,53724.93
188727,18151.92
188728,63931.727
188729,33029.125
188730,73231.84
188731,72222.54
188732,32346.086
188733,31613.674
188734,16496.234
188735,12557.253
188736,12064.316
188737,96019.46
188738,67315.484
188739,40192.027
188740,67478.0
188741,35740.773
188742,14994.442
188743,48215.836
188744,80641.36
188745,76539.84
188746,38469.535
188747,38257.105
188748,12701.756
188749,54406.605
188750,12382.347
188751,56234.29
188752,90072.31
188753,15103.523
188754,77777.9
188755,69330.18
188756,36950.242
188757,19751.283
188758,17175.135
188759,33167.21
188760,12563.308
188761,43014.41
188762,48589.625
188763,43496.17
188764,23999.072
188765,41048.363
188766,18665.965
188767,15861.092
188768,40307.195
188769,71643.9
188770,61617.773
188771,15383.302
188772,11831.259
188773,61633.344
188774,55604.094
188775,66316.01
188776,25530.617
188777,28492.932
188778,25056.764
188779,73846.305
188780,71593.21
188781,66256.34
188782,17507.828
188783,41167.95
188784,55666.605
188785,30140.037
188786,39791.27
188787,16978.373
188788,13817.106
188789,49651.188
188790,10188.5205
188791,11738.16
188792,75218.73
188793,32508.533
188794,14986.778
188795,59690.99
188796,13917.248
188797,76363.664
188798,17803.47
188799,16072.435
188800,50198.88
188801,43406.664
188802,32355.85
188803,102028.04
188804,17538.303
188805,16698.709
188806,81801.445
188807,48657.48
188808,48555.242
188809,38073.27
188810,19153.021
188811,94023.99
188812,30421.316
188813,21453.012
188814,38109.49
188815,22062.223
188816,34952.703
188817,32533.568
188818,36636.35
188819,33543.68
188820,17525.662
188821,31808.31
188822,32165.018
188823,41078.812
188824,14064.63
188825,45503.4
188826,13461.985
188827,29612.783
188828,34453.81
188829,13045.716
188830,42810.36
188831,77387.414
188832,16236.546
188833,36986.633
188834,39202.156
188835,25821.244
188836,31018.508
188837,57486.945
188838,14858.422
188839,9831.595
188840,11505.513
188841,62876.453
188842,25383.139
188843,96373.82
188844,44181.414
188845,16553.557
188846,49199.44
188847,75484.57
188848,12113.195
188849,34819.15
188850,67527.97
188851,80212.83
188852,93031.19
188853,30258.61
188854,21961.97
188855,79048.88
188856,69770.88
188857,93075.33
188858,55196.74
188859,53730.55
188860,11760.134
188861,39411.902
188862,84474.07
188863,13440.06
188864,48184.95
188865,68564.02
188866,42058.836
188867,15407.776
188868,91195.32
188869,21830.229
188870,14231.7705
188871,12751.117
188872,37634.598
188873,40433.523
188874,42952.746
188875,12953.07
188876,29469.736
188877,73106.52
188878,57242.312
188879,74963.76
188880,51598.14
188881,17915.533
188882,16045.1
188883,30868.346
188884,73159.13
188885,42660.973
188886,45804.492
188887,87042.195
188888,103007.73
188889,34603.992
188890,25578.748
188891,30306.44
188892,54768.094
188893,78552.586
188894,24495.523
188895,18500.227
188896,34351.953
188897,31516.348
188898,11251.08
188899,75021.47
188900,10512.283
188901,14842.726
188902,75749.445
188903,89269.63
188904,40188.105
188905,30407.951
188906,73674.555
188907,58579.633
188908,37926.57
188909,33733.918
188910,17105.01
188911,59399.766
188912,32144.81
188913,75466.54
188914,57958.254
188915,65217.29
188916,11733.011
188917,66279.77
188918,13563.89
188919,18346.357
188920,20387.803
188921,57515.047
188922,56539.195
188923,68062.35
188924,33729.07
188925,71237.68
188926,55408.04
188927,12277.37
188928,36201.4
188929,27483.521
188930,17742.213
188931,37487.38
188932,29071.63
188933,78223.15
188934,79155.63
188935,25865.764
188936,35241.46
188937,26779.72
188938,30207.564
188939,82164.43
188940,13550.915
188941,50081.6
188942,93342.12
188943,66744.26
188944,35772.465
188945,35529.42
188946,44916.258
188947,43152.21
188948,69793.336
188949,84814.46
188950,26931.275
188951,41738.68
188952,10467.236
188953,13531.03
188954,20955.559
188955,56578.5
188956,33859.453
188957,34351.71
188958,36838.883
188959,13555.87
188960,70926.74
188961,76918.01
188962,13182.773
188963,65222.15
188964,30412.172
188965,11928.185
188966,66856.82
188967,56999.33
188968,16465.713
188969,13402.945
188970,41707.758
188971,41620.676
188972,62107.254
188973,88893.195
188974,39198.945
188975,28101.99
188976,12725.299
188977,33404.156
188978,17648.791
